country,area,sex,agegroup,educ,hhsize_grp,pop_count,pop_count_se,pop_prop
DE,Bayern,Female,45-49,3-GraduateOrMore,1p.,20133.21312984862,20133.213129848624,2.934211442574911e-4
DE,Bayern,Female,45-49,3-GraduateOrMore,2pp.,0,0,0
DE,Bayern,Female,45-49,3-GraduateOrMore,3pp.+,120799.27877909172,40266.42625969725,0.0017605268655449466
DE,Bayern,Female,50-54,1-PrimaryOrLess,1p.,0,0,0
DE,Bayern,Female,50-54,1-PrimaryOrLess,2pp.,0,0,0
DE,Bayern,Female,50-54,1-PrimaryOrLess,3pp.+,0,0,0
DE,Bayern,Female,50-54,2-Secondary,1p.,30351.881411242663,30351.881411242663,4.4234786154680015e-4
DE,Bayern,Female,50-54,2-Secondary,2pp.,141540.73877481927,72886.58920836767,0.0020628125904446916
DE,Bayern,Female,50-54,2-Secondary,3pp.+,321864.4867154775,111445.65820075144,0.004690848171069629
DE,Bayern,Female,50-54,3-GraduateOrMore,1p.,0,0,0
DE,Bayern,Female,50-54,3-GraduateOrMore,2pp.,0,0,0
DE,Bayern,Female,50-54,3-GraduateOrMore,3pp.+,60399.63938954586,20133.213129848624,8.802634327724733e-4
DE,Bayern,Female,55-59,1-PrimaryOrLess,1p.,0,0,0
DE,Bayern,Female,55-59,1-PrimaryOrLess,2pp.,0,0,0
